Product_Name,Older Price,New Price,Discount,Rating
"(Renewed) Dell E7450 Latitude 14 Inches Laptop (5th Gen Intel Core i5 - 5300u /16 GB/256 GB SSD/Windows 10 Pro), Black",₹91990.00,₹19681.00,(78% off),3.8 out of 5 stars
"(Renewed) Dell Intel 5th Gen Core i5 5300U 14-Inch (35.56 cms) Laptop (8 GB/256 GB SSD/Windows 10/Intel HD Graphics/Black/), Latitude E5450",₹40000.00,₹19611.00,(50% off),3.5 out of 5 stars
"(Renewed) Dell Intel Core i3 4005U 14-Inch (35.56 cms) HD (1366 X 768) Pixels Laptop (4 GB/128 GB SSD/Windows 10 Pro/Intel/Grey/1.75 Kg), 3340-i3-4-128",₹50000.00,₹15998.00,(68% off),4.0 out of 5 stars
(Renewed) Dell Latitude 7280 (Core I5 7Th Gen/8GB/512GB SSD/Webcam/12.5''/Win Pro),₹88400.00,₹19890.00,(78% off),4.0 out of 5 stars
"(Renewed) Dell Latitude E5440 14 Inch (35.56 cms) Laptop ( Intel Core i5 4th Gen, 8GB, 128 SSD, Windows 10 Pro, Intel HD Graphics 3000, Dark Gray, 1.90 Kg)",₹79990.00,₹16057.00,(79% off),3.6 out of 5 stars
"(Renewed) Dell Latitude E5450 5th Gen Intel Core i5 HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm)/Windows 10/MS Office/WiFi/Bluetooth 4.0/Webcam/Integrated Graphics)",₹55000.00,₹19589.00,(64% off),3.6 out of 5 stars
"(Renewed) Dell Latitude E5470 14 Inches Laptop (Intel Core I5 6Th Gen/8Gb/256 Gb Sdd/Windows 10/Ms Office Pro 2019/Integrated Graphics), Black",₹89990.00,₹18990.00,(78% off),3.6 out of 5 stars
"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram & 256 GB SSD, Windows 10 Pro, 1.71Kg)",₹129000.00,₹19749.00,(84% off),3.6 out of 5 stars
"(Renewed) Dell Latitude Laptop Windows 10 Pro E7470 Intel Core i5 - 6300u Processor, 8 GB Ram & 256 GB SSD, 14.1 inches Screen (Ultra Slim & Light 1.58KG) Notebook Computer",₹89990.00,₹18465.00,(79% off),3.2 out of 5 stars
(Renewed) HP 348 G4 NOTEBOOK (CORE I5 7TH GEN/8GB/256GB SSD/WEBCAM/14''/WIN PRO),₹68400.00,₹19390.00,(71% off),2.7 out of 5 stars
"(Renewed) HP 840 G3 Intel Core i5-6300U 2.4Ghz 14 inches FHD EliteBook (8GB DDR4, 256GB SSD, Bluetooth 4.2, Windows 10 64) , 0.93kg",₹40000.00,₹19306.00,(51% off),3.7 out of 5 stars
"(Renewed) HP Chromebook 11A G6 EE 11.6 inches HD Chromebook (AMD A4-9120C/4GB/16GB eMMC/Chrome OS 64/AMD Radeon R4 Graphics),Delicate Orange - 6QG64PA, 1.27Kg",₹89999.00,₹10999.00,(87% off),2.7 out of 5 stars
"(Renewed) Hp EliteBook 840 G3 6th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm)/Windows 11/MS Office/Wifi/Bluetooth/Webcam/Integrated Graphics)",₹50000.00,₹19598.00,(60% off),3.0 out of 5 stars
"(Renewed) HP ProBook Intel 6th Gen Core i5 14 inches FHD Screen Laptop (8GB RAM, 256GB SSD, HD Graphics, Windows 11 (Upgraded), MS Office, Black, Slim)",₹89990.00,₹18843.00,(79% off),3.0 out of 5 stars
"(Renewed) HP Probook x360 11 G1 11.6"" X360 Touch Laptop User Facing Webcam Intel Celeron ( N3350 ) 4 GB DDR3L SDRAM - 128Gb SSD Windows 10",₹49999.00,₹13999.00,(72% off),3.3 out of 5 stars
"(Renewed) HP Probook x360 11 G3 11.6"" X360 Touch Laptop User Facing Webcam Intel Pentium Silver ( N3350 ) 4 GB DDR3L SDRAM - 128Gb SSD Windows 10",₹50000.00,₹14999.00,(70% off),4.2 out of 5 stars
"(Renewed) Lenovo IdeaPad 6th Gen Intel Core i3 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm)/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Integrated Graphics)",₹89999.00,₹17899.00,(80% off),2.9 out of 5 stars
"(Renewed) Lenovo ThinkPad 4th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/12.5"" (31.7 cm)/Windows 10/MS Office/WiFi/Bluetooth 4.0/Webcam/Integrated Graphics)",₹40000.00,₹15979.00,(60% off),5.0 out of 5 stars
