Product_Name,Older Price,New Price,Discount,Rating
"(Renewed) Dell E7450 Latitude 14 Inches Laptop (5th Gen Intel Core i5 - 5300u /4 GB/256 GB SSD/Windows 10 Pro), Black",₹ 40000,₹ 17978,(55% off),3.3 out of 5 stars
"(Renewed) Dell Latitude E5470 6th Gen Intel Core i3 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm)/Windows 11/MS Office/Wifi/Bluetooth 4.1/Webcam/Integrated Graphics)",₹ 60000,₹ 19987,(66% off),3.5 out of 5 stars
"(Renewed) Dell Latitude E7270 12.5 Inches Laptop (Intel Core I5 6Th Gen/8Gb/256 Gb Ssd/Windows 10/Ms Office Pro 2019/Integrated Graphics), Black",₹ 50000,₹ 18789,(62% off),3.4 out of 5 stars
"(Renewed) HP Chromebook Mediatek MT8183 11.6 inches (4GB/64GB EMMC Storage/Chrome OS) 11a-na0004MU Chromebook (Ash Grey, 1.07Kg)",₹ 21000,₹ 14490,(31% off),3.3 out of 5 stars
(Renewed) HP ELITEBOOK 820 G4 (CORE I5 7TH GEN/8GB/256GB SSD/WEBCAM/12.5'' NO TOUCH/Windows 10 Pro),₹ 79000,₹ 19780,(74% off),3.1 out of 5 stars
"(Renewed) HP EliteBook 820 G4 12.5"" 31.75 cm Thin & Light Intel HD Laptop Core i5-7th Gen/8 GB DDR4 RAM/256 GB SSD/Windows 11/ MS Office/ Wifi/ Bluetooth 4.2/ Webcam/Integrated Graphics",₹ 79999,₹ 18499,(76% off),1.8 out of 5 stars
"(Renewed) HP EliteBook 840 G2 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm)/Windows 10 Pro/MS Office/WiFi/Bluetooth/Webcam/Integrated Graphics)",₹ 40000,₹ 19999,(50% off),
"(Renewed) HP Intel 3rd Gen Core i5 3360M 15.6-Inch (39.62 cms) 1381 X 768 Laptop (4 GB/120 GB SSD/Windows/Intel HD Graphics/Copper/2.85 Kg), 6570b",₹ 89999,₹ 18999,(78% off),3.2 out of 5 stars
"(Renewed) HP Intel 6th Gen Core i5-6267U 14.5-Inch (36.83 cms) HD (1366 X 768) MP Laptop (4 GB/500 GB HDD/Windows 10 Pro/MS Office 2019 /Intel/Silver/2.20 Kg), 840 G3",₹ 129000,₹ 19962,(84% off),1.5 out of 5 stars
(Renewed) HP THIN CLIENT T420 (AMD-GX 1st GEN/2GB RAM/7GB SSD) with Mouse & Keyboard 1 Year Warranty,₹ 20574,₹ 3490,(83% off),
"(Renewed) Lenovo T440p ThinkPad 4th Gen Intel Core i5 - 4300m 14 inches Business Laptop (8 GB, 500 GB HDD, 1366 X 768, Windows 10 Pro, Black, 2.1 kg)",₹ 119000,₹ 16890,(85% off),3.7 out of 5 stars
"(Renewed) Lenovo ThinkPad 14"" (35.6 cm) HD Business Laptop (Core i5-4th Gen/8 GB RAM/256 GB SSD/Windows 10 Pro/MS Office/Wifi/Webcam/Intel Graphics)",₹ 50000,₹ 17198,(65% off),4.0 out of 5 stars
"(Renewed) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/12.5"" (31.7 cm)/Windows 11/MS Office/WiFi/Bluetooth 4.0/Webcam/Integrated Graphics)",₹ 89999,₹ 17999,(80% off),3.5 out of 5 stars
"(Renewed) Lenovo ThinkPad Core 2 Duo HD Business Laptop (8 GB RAM/500 GB HDD/14"" (35.6 cm)/Windows 7/MS Office/WiFi/Bluetooth/Webcam/Integrated Graphics)",₹ 89999,₹ 12999,(85% off),
"(Renewed) Lenovo Thinkpad E470 6th Gen Intel Core i3 Thin & Light HD Laptop (4 GB DDR4 RAM/500 GB HDD/14"" (35.6 cm)/Windows 11/MS Office/WiFi/Bluetooth 4.0/Webcam/Intel HD Graphics)",₹ 40000,₹ 15998,(60% off),3.5 out of 5 stars
"(Renewed) Lenovo ThinkPad E470 7th Gen Intel Core i3 Thin & Light HD Laptop (8 GB DDR4 RAM/320 GB HDD/14"" (35.6 cm)/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Integrated Graphics)",₹ 89999,₹ 15999,(82% off),2.5 out of 5 stars
(Renewed) Lenovo Thinkpad L440 Intel 4th Gen Core i5 4200M 14 inches - HD 1366 X 768 Laptop (8 GB/500 GB/Windows 10 Pro/HD Graphics 4600/Black/1.80 kg),₹ 40000,₹ 17490,(56% off),3.6 out of 5 stars
"(Renewed) Lenovo Thinkpad L450 14 inches Laptop (Intel Core I5 5th Gen/8GB/500GB/Windows 10 Pro/MS Office/Anti Glare Display/Webcam/Bluetooth/Wifi/Integrated Graphics), Black, 1.8kg",₹ 75000,₹ 19392,(74% off),3.7 out of 5 stars
(Renewed) LENOVO THINKPAD T460 (CORE I5 6TH GEN/8GB/256GB SSD/WEBCAM/14''/WIN-10 PRO),₹ 40000,₹ 18469,(53% off),2.8 out of 5 stars
