Product_Name,Older Price,New Price,Discount,Rating
"(Renewed) Dell Latitude 6430 Intel Core i5 3rd Gen | 4Gb Ram | 320 Gb Hdd | 14.1"" True View LED Screen| 1Gb Nvidia Dedicated Graphics Card | Wifi | Webcam & Mic | Windows 10 | Charger",₹ 30000,₹ 14279,4.2 out of 5 stars,4.2 out of 5 stars
"(Renewed) Dell Latitude E7440 4th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/500 GB HDD/14"" (35.6 cm)/Windows 10 Pro/MS Office/Wifi/Bluetooth/Webcam/Integrated Graphics)",₹ 40000,₹ 18299,3.2 out of 5 stars,3.2 out of 5 stars
"(Renewed) Dell Latitude Laptop E7480 Intel Core i5 - 6200u Processor 6th Gen, 8 GB Ram & 256 GB SSD, 14.1 Inches (Ultra Slim & Feather Light 1.37KG) Notebook Computer",₹ 134990,₹ 19790,1.0 out of 5 stars,1.0 out of 5 stars
"(Renewed) Dell Lattitude E5270 Intel Core I5 6th Gen 12.5 inches HD Laptop (8GB DDR4 RAM-256 GB SSD-Windows 10 Pro/MS Office-19), 1.7kg",₹ 89990,₹ 19895,3.9 out of 5 stars,3.9 out of 5 stars
(Renewed) Fujitsu LifeBook 15.6 inch (39.62 cm) HD Business Laptop(Core i3 4th Gen/8 GB RAM/500 GB/Wifi/Webcam/Bluetooth/USB/Windows 10 Pro/MS Office 19/Pan India Warranty),₹ 89999,₹ 13999,3.9 out of 5 stars,3.9 out of 5 stars
"(Renewed) HP Chromebook MediaTek MT8183 11.6 inches Thin and Light Touchscreen Laptop (4GB/64GB eMMC/Chrome OS/1.07Kg/Indigo Blue), 11a-na0002MU",₹ 21470,₹ 14799,3.2 out of 5 stars,3.2 out of 5 stars
"(Renewed) HP EliteBook 820 G4 12.5"" (31.75 cm) Thin & Light HD Laptop (Core i5-7th Gen/8 GB DDR4 RAM/1 TB HDD/Windows 11/ MS Office/ Wifi/Bluetooth 4.2/Webcam/Integrated Graphics)",₹ 79999,₹ 19499,(75% off),
"(Renewed) HP EliteBook 840 G1 Intel i5 4th Gen 14 inches HD Laptop (8GB RAM/500 GB HDD/Wifi/Bluetooth 4.0/Windows 10 Pro/MS Office/Webcam/Integrated Graphics), 2.5kg",₹ 40000,₹ 16037,3.0 out of 5 stars,3.0 out of 5 stars
"(Renewed) HP EliteBook 840 G2 14 inches Laptop (5th Gen Intel Core i5/8GB/256 GB SSD/Windows 10/MS office 2019/Integrated Graphics), Black, 1.9kg",₹ 40000,₹ 19599,3.1 out of 5 stars,3.1 out of 5 stars
"(Renewed) HP EliteBook 840 G2, Intel Core i5-5300U up to 2.3 GHz, 8GB RAM, 500 GB SATA Windows 10 Pro",₹ 89990,₹ 17425,3.3 out of 5 stars,3.3 out of 5 stars
