,product_name,product_url,category,status,stars
1195,Olifair Gold and Charcoal Whitening Soap (Pack of 2) 200 gm(Riya Fruity Soap Free),https://yoshops.com/products/olifair-gold-and-charcoal-whitening-soap-pack-of-2-200-gm1,Personal Care,Reviewd,5.0 star rating
1196,Olifair Ultra Gold Whitening Soap (Pack of 4) 400 gm(Riya Fruity Soap Free),https://yoshops.com/products/olifair-ultra-gold-whitening-soap-pack-of-4-400-gm,Personal Care,Reviewd,5.0 star rating
1197,Olifair Ultra Gold Whitening Soap (Pack of 6) 600 gm(Riya Fruity Soap Free),https://yoshops.com/products/olifair-ultra-gold-whitening-soap-pack-of-6-600-gm,Personal Care,Reviewd,5.0 star rating
1198,Olifair Charcoal Whitening Soap 120 gm(Riya Fruity Soap Free),https://yoshops.com/products/olifair-charcoal-whitening-soap-120-gm,Personal Care,Reviewd,5.0 star rating
1199,"Olifair Facial Kit Combo Pack (Gold, Charcoal, Lightening, Seaweed, Wrinkle) 750 gm(Riya Fruity Soap Free)",https://yoshops.com/products/olifair-facial-kit-combo-pack-gold-charcoal-lightening-seaweed-wrinkle-750-gm,Personal Care,Reviewd,5.0 star rating
1200,OLIFAIR Skin Lightening Facial Kit for Face 150 gm(Riya Fruity Soap Free),https://yoshops.com/products/olifair-skin-lightening-facial-kit-for-face-150-gm1,Personal Care,Reviewd,5.0 star rating
1201,OLIFAIR Unisex Age lock And Wrinkle Facial Kit 150Gm(Riya Fruity Soap Free),https://yoshops.com/products/olifair-unisex-age-lock-and-wrinkle-facial-kit-150gm,Personal Care,Reviewd,5.0 star rating
1202,OLIFAIR Unisex Gold Facial Kit For Healthy Skin 150gm(Riya Fruity Soap Free),https://yoshops.com/products/olifair-unisex-gold-facial-kit-for-healthy-skin-150gm,Personal Care,Reviewd,5.0 star rating
1203,OLIFAIR Activated Charcoal Face Kit With Tea Tree Essential Oil 150gm(Riya Fruity Soap Free),https://yoshops.com/products/olifair-activated-charcoal-face-kit-with-tea-tree-essential-oil-150gm,Personal Care,Reviewd,5.0 star rating
1204,OLIFAIR Unisex Seaweed Facial Kit Pack 150gm(Riya Fruity Soap Free),https://yoshops.com/products/olifair-unisex-seaweed-facial-kit-pack-150gm,Personal Care,Reviewd,5.0 star rating
1205,Olifair Activated Carbon + Kerovita Gel Refreshing Face Wash 50 ml(Riya Fruity Soap Free),https://yoshops.com/products/olifair-activated-carbon-kerovita-gel-refreshing-face-wash-50-ml,Personal Care,Reviewd,5.0 star rating
1206,Olifair Gold Radiance Face Wash for All Skin Types - 50 ml(Riya Fruity Soap Free),https://yoshops.com/products/olifair-gold-radiance-face-wash-for-all-skin-types-50-ml,Personal Care,Reviewd,5.0 star rating
